draw,production_kgco2e
224,4002.086896712508
225,3861.305135221349
226,4145.358825276007
227,4519.694835986411
228,4094.241612966597
229,3790.7513892512034
230,4540.464126291076
231,4089.1129803679733
232,4138.3857044027245
233,4070.9335019437676
234,3891.07373019684
235,3990.9374778656006
236,3863.262848251773
237,3629.0506382628664
238,4130.004357288955
239,4350.608349862892
240,4369.394426157073
241,4034.2694414394928
242,4271.005766699376
243,3962.746405309076
244,3548.393881093214
245,3973.5391333052003
246,3876.447792008702
247,4157.904681094302
248,3671.7615559175274
249,4049.729413621678
250,3895.794430519136
251,4127.3149667960915
252,3778.788749470483
253,3797.884326667221
254,4085.8046175437075
255,4288.785987990373
256,4640.075426048654
257,3693.1387728800955
258,3837.444077703806
259,4526.086763259349
260,3812.694413236258
261,4620.777509127084
262,3928.7897686728365
263,4699.90855930641
264,4000.7789159662957
265,3883.3409422587774
266,4114.9916977172625
267,3573.595867831151
268,3666.2029155743357
269,3990.922977995773
270,3738.5555473026316
271,4042.455111105922
272,4353.683221250344
273,3994.5892041729503
274,3837.0010512289423
275,3940.7166183879785
276,3463.913640871219
277,3960.540301480247
278,4121.271893195089
279,4444.278515521171
280,4130.513265325395
281,3979.133278845783
282,3837.5819956893934
283,4105.5046315962545
284,4045.696791858079
285,4080.2636940706625
286,4282.004423883273
287,4195.2077844911855
288,4048.1113401771227
289,3660.7735796452625
290,3604.883710963747
291,3890.1096879409506
292,3649.531687264594
293,4263.537397567774
294,4171.715197806282
295,4162.756155244897
296,3948.819021998373
297,4084.608449275602
298,4204.694185478128
299,4603.943898987818
300,4274.614285450434
301,3756.1413290194273
302,3976.7372071499453
303,4043.7449354818987
304,4115.151774019358
305,4304.065210084454
306,4122.30457743174
307,4253.495492798731
308,4087.8933560197574
309,4172.279159870391
310,3749.73421586614
311,3701.5351212175965
312,4012.584263096858
313,3581.9503519382224
314,3794.4248885670945
315,4380.0171928444415
316,4332.24898126961
317,4191.245849104001
318,4040.614324315022
319,3646.7799362324104
320,3985.2655464750947
321,4582.3255460954315
322,4131.23401046626
323,3973.9522079520784
324,4110.985566172492
325,4046.888531659244
326,4361.54326782088
327,4098.148714094714
328,3944.4194667520096
329,3900.6062251741287
330,3837.6408441452204
331,3835.010258025469
332,3565.812875252858
333,4096.944110152048
334,4117.915041659478
335,4369.839455806289
336,4100.777788520207
337,3643.9893350828047
338,3727.565711897701
339,3805.7036116877125
340,4389.688759804658
341,4075.1945660452457
342,3802.777082814562
343,3794.5103947808598
344,3825.28356432699
345,4383.903423601437
346,3910.2192721464226
347,4035.7700238134594
348,4102.457476742413
349,3880.4426385495512
350,4267.701343778523
351,4225.455674774853
352,3536.4233762458925
353,4155.77938875719
354,3925.332387131224
355,3926.1870180291326
356,3842.8014478263203
357,3640.4488391239092
358,4104.403140450862
359,4096.606924903764
360,3763.009402628498
361,3865.23669671969
362,3771.2021839861554
363,4345.298627112889
364,4107.9550767894925
365,3892.2687392215767
366,3894.1638150583794
367,3610.191517115531
368,4415.083806195634
369,4082.568847807997
370,4162.9790784372635
371,3474.8426112667244
372,3996.001262119459
373,4377.583769391005
374,4289.905691621921
375,3584.3190489074727
376,4096.998400697281
377,3760.6666368288898
378,4220.107295130378
379,3847.411612417705
380,3937.2931217455816
381,3529.212410521468
382,4317.346239076377
383,4098.02825121979
384,4129.0152415480225
385,3989.677435473948
386,4060.015389097751
387,4539.746459044378
388,3610.1072940349886
389,4023.631742719703
390,3914.818421654934
391,4026.2055028214854
392,3802.3854048195785
393,4288.330914638293
394,4506.486389051301
395,4057.9801340086315
396,4365.2675622940915
397,4323.821991503338
398,3529.365965598353
399,3852.21089646138
400,3986.440028633761
401,4299.450966841736
402,3880.951269233363
403,3615.7392454457186
404,4356.5464945703925
405,4437.527565740642
406,3986.5326181029704
407,3661.51748775052
408,4258.710745564537
409,3912.1204926431083
410,3966.3336409749545
411,4300.30166349864
412,3579.754429385718
413,4285.657980819633
414,4345.0588545752325
415,3895.1470534871487
416,3825.043342554568
417,4178.908859143465
418,3650.4936205818203
419,4046.378269278148
420,4049.915022164769
421,4143.100628113176
422,3751.561479949326
423,4293.912042640167
424,3877.016347301369
425,3896.737634069271
426,3734.6561809886416
427,4174.717755109355
428,4007.983211210939
429,4060.23412320558
430,4084.155463419542
431,4220.343966324131
432,4350.343085069171
433,4161.962825289235
434,4000.6360652056937
435,4015.2675425566363
436,4056.0694193849067
437,3760.5855080810534
438,3667.8968554404933
439,4600.123524243465
440,4286.790545849532
441,3519.963998371599
442,3871.57090406893
443,3814.810882909449
444,4137.238470945969
445,4237.391490955116
446,3688.3614558447507
447,4054.6267414313547
448,3624.573678818214
449,3968.259863588172
450,3686.998616951673
451,3819.7200527430023
452,4433.612863715646
453,4083.4184697970845
454,4012.1312266808322
455,4371.661165836084
456,4039.424006641444
457,3859.34344854571
458,4108.111307453675
459,3752.7394991904944
460,4196.352063916991
461,3625.0988578109655
462,4494.973892163023
463,3763.3631022451477
464,3939.6004338027496
465,4241.981039049737
466,4216.914025908357
467,3596.58783313026
468,4286.709235676566
469,3884.7037828974435
470,3829.84449433236
471,4363.553345721587
472,4205.201428403705
473,3990.297802510293
474,3714.437429080607
475,4475.3667481560415
476,4148.155395154965
477,4056.4779937887115
478,3880.9382477418108
479,3937.398112473901
480,4081.4876049024597
481,4430.467146152425
482,3845.751980033013
483,4086.0225098679302
484,4584.436258238993
485,3725.5920257904954
486,4015.6388431263395
487,3687.2576508259367
488,3546.7248507183276
489,3708.1010806389318
490,3848.4471523992365
491,3930.019216957834
492,4378.740558249214
493,4305.101754876241
494,4250.602269026234
495,3790.1597592302824
496,3672.332356766325
497,3877.22268281581
498,3673.7831771828132
499,3725.2294230633797
500,4136.042899870181
501,3921.1520238186117
502,4085.68860673184
503,3718.200478354468
504,4187.062413035168
505,3896.9818840790786
506,4100.116098527726
507,4137.935610939211
508,4088.2140346475344
509,3956.012373854161
510,3845.3318807594687
511,4079.071562204407
512,4297.986269145875
513,3622.4049977301875
514,4014.3538921318595
515,3625.5100652867936
516,3922.9054259118184
517,4643.920183995384
518,4009.53548807024
519,3964.631105421932
520,4253.878004793742
521,4322.2584528163015
522,3892.8233122466518
523,3514.4764381859113
524,4291.843451856833
525,3531.4394171655513
526,3969.799280257642
527,3883.243351043013
528,3692.405201180486
529,3711.2108344916505
530,3935.220477595166
531,4288.648063536797
532,3902.6522447587904
533,4330.794591535822
534,4130.61545113654
535,4290.958489453418
536,3748.243961801512
537,4098.484820182515
538,4062.4262220965056
539,3540.2483328167255
540,4330.808672950039
541,3664.8203180438995
542,3870.8217514500684
543,4264.913748419042
544,3651.290056035933
545,3999.1196396282307
546,4259.074246768395
547,3979.0613672169184
548,4068.166535371142
549,4062.845728741907
550,3777.1745939212706
551,3561.536477883005
552,3932.1132761233875
553,3878.8238272242897
554,3688.852819256744
555,4315.450054271747
556,4259.910492601744
557,3735.9066404839086
558,3895.173783833072
559,4319.495610568176
560,3630.1611795323306
561,4487.62087578474
562,4342.334272338771
563,4031.2198001144416
564,3826.048082662719
565,4372.97825605125
566,3781.2977186557528
567,4029.742950503175
568,3532.960990007837
569,3695.0001088622676
570,3858.072881731971
571,4270.629388225212
572,3549.788744302403
573,3971.5640819988366
574,3916.830482166254
575,4011.8687620248966
576,3916.541292135163
577,4395.101882509311
578,3812.1846987167387
579,3868.445590331871
580,4237.35595511718
581,4015.393210181936
582,3808.2321498098368
583,4104.2576001630705
584,4229.174423507802
585,3649.23518194293
586,4199.825150366958
587,3730.670678449276
588,4118.503405899814
589,3926.268453522473
590,4000.4057998918906
591,3993.612675945832
592,4086.6779827086575
593,3713.498026470101
594,4157.314229424406
595,4472.220310406857
596,4099.298697906443
597,3845.9092583185834
598,3942.319528140729
599,3963.3817757032402
600,4075.7417715900756
601,4073.370446047472
602,4015.011106684905
603,3624.9322127389273
604,3912.6094324771016
605,4054.814909992614
606,4440.694130837888
607,3897.35774247223
608,4430.510461357665
609,4270.1614335606155
610,4203.321696127307
611,4016.750009926176
612,4331.247809971534
613,3627.7075192365505
614,4149.439151054936
615,4197.664230260441
616,3978.5641823175247
617,3752.7739368238867
618,4031.5509398091863
619,3694.0275972063287
620,3864.3854586274488
621,4343.191448457836
622,4405.8464276523
623,4134.081116469476
624,4095.931293350087
625,4438.344786908165
626,4051.141946161055
627,3973.3551450369937
628,3921.383558750886
629,4020.063161157231
630,3499.0079193377233
631,4128.913794734467
632,4227.398500806592
633,3747.578401829945
634,4133.342017989877
635,3619.6444205022945
636,4248.386332752781
637,4023.126473366643
638,3900.7288907934762
639,4244.591267741694
640,3976.770807785807
641,3773.1607983589715
642,4118.6231160054585
643,4039.9265849167223
644,4388.51230766654
645,4210.312568786523
646,4167.032019338388
647,3819.118896451505
648,3593.7636042184536
649,3381.5863728916443
650,3925.0641162253028
651,4517.605990432054
652,4147.5177289664025
653,4559.909979327338
654,3745.8481825018234
655,4426.4985541903025
656,3858.4114528738914
657,4251.062784674532
658,3867.952836097637
659,4530.234063355209
660,4063.6892314530205
661,4222.595253969708
662,4033.774116744333
663,4296.709304844272
664,4384.456938138414
665,4131.74751351237
666,3972.572319251514
667,4268.437901509532
668,4086.3299611815246
669,3700.152378752041
670,4017.9199972748406
671,3701.77475099159
672,3575.0140195917593
673,4116.328650250288
674,3787.171244041876
675,4086.8321732172735
676,3506.878774496139
677,3710.68786387362
678,3626.0608344393772
679,3734.2845300831386
680,4290.968326384522
681,3817.701712017326
682,4133.452266212143
683,3878.2100537622823
684,3929.466418422554
685,4092.475303490933
686,3795.0076631985944
687,3455.560680118194
688,3920.2637608990876
689,3859.0214942764533
690,3831.8033618337768
691,3697.9296241980646
692,3734.2575520057944
693,4123.150283863941
694,3745.661837051355
695,3932.1076685678545
696,3924.2648843097013
